run_index,scenario_name,num_simulations,num_pdf_samples,discount_rate,cooling_enabled,heating_enabled,mean_tcoo,std_tcoo,lower_bound_95ci,upper_bound_95ci,threshold_8_years,99th_percentile
0,baseline,5000,10000,3.0,True,True,318167.25,4365.73,309720.65,326716.31,,
1,baseline,5000,10000,3.0,False,True,303883.3,4055.99,296268.37,311871.66,,
2,baseline,5000,10000,3.0,True,False,14703.22,1463.94,11933.37,17625.29,15939.0,18272.97
3,S01_simple_shading-extra,5000,10000,3.0,True,True,317230.8,3914.67,309668.21,324987.24,,
4,S01_simple_shading-extra,5000,10000,3.0,False,True,293596.06,3540.94,286804.78,300572.66,,
5,S01_simple_shading-extra,5000,10000,3.0,True,False,23783.19,1421.18,21044.83,26680.38,24920.0,27217.1
6,S02_simple_paint,5000,10000,3.0,True,True,327160.21,4166.48,319024.55,335285.38,,
7,S02_simple_paint,5000,10000,3.0,False,True,302843.89,3879.9,295365.22,310544.6,,
8,S02_simple_paint,5000,10000,3.0,True,False,24338.37,1441.4,21586.19,27173.0,25385.0,27769.72
9,S04_simple_combi,5000,10000,3.0,True,True,336540.42,4021.76,328698.97,344476.77,,
10,S04_simple_combi,5000,10000,3.0,False,True,303227.83,3820.54,295895.71,310798.19,,
11,S04_simple_combi,5000,10000,3.0,True,False,33147.93,1389.88,30408.67,35869.47,34357.0,36312.48
12,M01_medium_shading,5000,10000,3.0,True,True,329009.05,3594.06,322159.19,336173.41,,
13,M01_medium_shading,5000,10000,3.0,True,False,66320.75,1373.76,63719.04,69153.71,67572.0,69615.45
14,D01_deep_shading-paint,5000,10000,3.0,True,True,299174.93,2837.8,293798.85,304954.25,,
15,D01_deep_shading-paint,5000,10000,3.0,True,False,111474.33,1353.93,108932.45,114171.85,112643,114604.62
